time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000014,-0.000007,-0.002925
0.010000,-0.000000,-0.000030,-0.000075,-0.005401
0.015000,-0.000001,-0.000064,-0.000258,-0.004719
0.020000,-0.000003,-0.000082,-0.000587,-0.008347
0.025000,-0.000008,-0.000131,-0.001082,-0.008163
0.030000,-0.000015,-0.000167,-0.001743,-0.008343
0.035000,-0.000026,-0.000217,-0.002548,-0.008397
0.040000,-0.000041,-0.000251,-0.003434,-0.008740
0.045000,-0.000061,-0.000303,-0.004352,-0.009946
0.050000,-0.000086,-0.000341,-0.005236,-0.008057
0.055000,-0.000114,-0.000396,-0.006023,-0.012373
0.060000,-0.000147,-0.000445,-0.006681,-0.014276
0.065000,-0.000182,-0.000528,-0.007181,-0.017321
0.070000,-0.000218,-0.000600,-0.007500,-0.016889
0.075000,-0.000256,-0.000696,-0.007627,-0.015141
0.080000,-0.000294,-0.000758,-0.007563,-0.012558
0.085000,-0.000332,-0.000834,-0.007328,-0.013106
0.090000,-0.000367,-0.000886,-0.006964,-0.012210
0.095000,-0.000401,-0.000961,-0.006538,-0.014535
0.100000,-0.000432,-0.001021,-0.006125,-0.014769
0.105000,-0.000462,0.003113,-0.005783,0.103879
0.110000,-0.000490,0.003528,-0.005578,0.102858
0.115000,-0.000518,0.004137,-0.005611,0.101116
0.120000,-0.000547,0.004540,-0.005974,0.099722
0.125000,-0.000579,0.005142,-0.006743,0.101176
0.130000,-0.000616,0.005548,-0.007982,0.100496
0.135000,-0.000661,0.006151,-0.009719,0.099849
0.140000,-0.000716,0.006547,-0.011972,0.096586
0.145000,-0.000784,0.007118,-0.014715,0.091756
0.150000,-0.000867,0.007484,-0.017865,0.089603
0.155000,-0.000967,0.008009,-0.021436,0.082174
0.160000,-0.001086,0.008338,-0.025381,0.078745
0.165000,-0.001225,0.008804,-0.029617,0.073423
0.170000,-0.001387,0.009091,-0.034093,0.066497
0.175000,-0.001571,0.009474,-0.038741,0.059761
0.180000,-0.001779,0.009707,-0.043581,0.055940
0.185000,-0.002012,0.010035,-0.048495,0.050633
0.190000,-0.002269,0.010225,-0.053358,0.043523
0.195000,-0.002550,0.010472,-0.058268,0.036835
0.200000,-0.002857,0.010610,-0.063221,0.033128
0.205000,-0.003187,0.000146,-0.068127,-0.021001
0.210000,-0.003543,0.000056,-0.073004,-0.027798
0.215000,-0.003922,-0.000125,-0.077734,-0.032959
