time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000029,0.300030
0.010000,0.000063,0.300057
0.015000,0.000133,0.300106
0.020000,0.000183,0.300144
0.025000,0.000268,0.300212
0.030000,0.000338,0.300263
0.035000,0.000429,0.300350
0.040000,0.000484,0.300415
0.045000,0.000549,0.300521
0.050000,0.000600,0.300599
0.055000,0.000649,0.300726
0.060000,0.000699,0.300817
0.065000,0.000781,0.300965
0.070000,0.000825,0.301070
0.075000,0.000918,0.301239
0.080000,0.000976,0.301359
0.085000,0.001081,0.301549
0.090000,0.001169,0.301683
0.095000,0.001358,0.301895
0.100000,0.001500,0.302044
0.105000,0.011813,0.299811
0.110000,0.011826,0.299892
0.115000,0.011896,0.300019
0.120000,0.011975,0.300107
0.125000,0.012141,0.300245
0.130000,0.012286,0.300341
0.135000,0.012556,0.300490
0.140000,0.012764,0.300593
0.145000,0.013116,0.300754
0.150000,0.013369,0.300865
0.155000,0.013776,0.301038
0.160000,0.014046,0.301157
0.165000,0.014508,0.301343
0.170000,0.014830,0.301471
0.175000,0.015317,0.301670
0.180000,0.015669,0.301807
0.185000,0.016225,0.302019
0.190000,0.016620,0.302165
0.195000,0.017186,0.302391
0.200000,0.017578,0.302547
0.205000,0.007432,0.300041
0.210000,0.007868,0.300139
0.215000,0.008535,0.300290
0.220000,0.009011,0.300393
0.225000,0.009745,0.300552
0.230000,0.010247,0.300662
0.235000,0.011014,0.300830
0.240000,0.011542,0.300946
0.245000,0.012339,0.301124
0.250000,0.012903,0.301247
0.255000,0.013755,0.301436
0.260000,0.014360,0.301565
0.265000,0.015206,0.301764
0.270000,0.015760,0.301901
0.275000,0.016620,0.302112
0.280000,0.017207,0.302256
0.285000,0.018083,0.302478
0.290000,0.018666,0.302630
0.295000,0.019545,0.302864
0.300000,0.020132,0.303025
0.305000,0.045250,0.300376
0.310000,0.045946,0.300480
0.314999,0.046970,0.300641
0.319999,0.047667,0.300750
0.324999,0.048723,0.300919
0.329999,0.049416,0.301035
0.334999,0.050442,0.301212
0.339999,0.051120,0.301334
0.344999,0.052128,0.301520
0.349999,0.052802,0.301648
0.354999,0.053813,0.301844
0.359999,0.054474,0.301979
0.364999,0.055458,0.302185
0.369999,0.056090,0.302326
0.374999,0.057002,0.302543
0.379999,0.057612,0.302691
0.384999,0.058527,0.302919
0.389999,0.059157,0.303075
0.394998,0.060076,0.303314
0.399998,0.060674,0.303478
0.404998,0.034372,0.300744
0.409998,0.034944,0.300852
0.414998,0.035788,0.301017
0.419998,0.036338,0.301130
0.424998,0.037140,0.301304
0.429998,0.037668,0.301422
0.434998,0.038478,0.301604
0.439998,0.039024,0.301729
0.444998,0.039856,0.301920
0.449998,0.040406,0.302050
0.454998,0.041251,0.302250
0.459998,0.041842,0.302387
0.464998,0.042743,0.302597
0.469997,0.043375,0.302741
0.474997,0.044319,0.302961
0.479997,0.044980,0.303112
0.484997,0.045924,0.303343
0.489997,0.046531,0.303501
0.494997,0.047465,0.303744
0.499997,0.048097,0.303909
0.504997,0.025731,0.301123
0.509997,0.025817,0.301233
0.514997,0.025954,0.301401
0.519997,0.026032,0.301515
0.524997,0.026156,0.301692
0.529997,0.026240,0.301812
0.534997,0.026387,0.301996
0.539997,0.026486,0.302122
0.544997,0.026635,0.302315
0.549996,0.026728,0.302447
0.554996,0.026899,0.302650
0.559996,0.027020,0.302788
0.564996,0.027231,0.303000
0.569996,0.027382,0.303145
0.574996,0.027591,0.303368
0.579996,0.027721,0.303519
0.584996,0.027918,0.303753
0.589996,0.028086,0.303912
0.594996,0.028315,0.304156
0.599996,0.028477,0.304323
0.604996,0.082533,0.301504
0.609996,0.083295,0.301615
0.614996,0.084446,0.301784
0.619996,0.085219,0.301900
0.624996,0.086364,0.302077
0.629995,0.087135,0.302198
0.634995,0.088303,0.302383
0.639995,0.089083,0.302510
0.644995,0.090294,0.302705
0.649995,0.091095,0.302837
0.654995,0.092287,0.303041
0.659995,0.093080,0.303180
0.664995,0.094308,0.303393
0.669995,0.095117,0.303539
0.674995,0.096324,0.303763
0.679995,0.097160,0.303915
0.684995,0.098421,0.304150
0.689995,0.099242,0.304309
0.694995,0.100506,0.304555
0.699995,0.101376,0.304722
0.704994,0.061457,0.301882
0.709994,0.061920,0.301993
0.714994,0.062595,0.302163
0.719994,0.063051,0.302279
0.724994,0.063746,0.302457
0.729994,0.064183,0.302579
0.734994,0.064840,0.302765
0.739994,0.065275,0.302892
0.744994,0.065947,0.303087
0.749994,0.066392,0.303220
0.754994,0.067070,0.303424
0.759994,0.067513,0.303564
0.764994,0.068169,0.303778
0.769994,0.068600,0.303924
0.774994,0.069275,0.304148
0.779994,0.069710,0.304301
0.784993,0.070348,0.304535
0.789993,0.070795,0.304696
0.794993,0.071446,0.304941
0.799993,0.071911,0.305109
0.804993,0.060226,0.302255
0.809993,0.060386,0.302366
0.814993,0.060568,0.302537
0.819993,0.060727,0.302653
0.824993,0.060890,0.302831
0.829993,0.060969,0.302953
0.834993,0.061122,0.303139
0.839993,0.061233,0.303266
0.844993,0.061397,0.303462
0.849993,0.061506,0.303595
0.854993,0.061672,0.303799
0.859993,0.061794,0.303939
0.864992,0.061988,0.304153
0.869992,0.062131,0.304299
0.874992,0.062347,0.304524
0.879992,0.062491,0.304677
0.884992,0.062708,0.304912
0.889992,0.062858,0.305072
0.894992,0.063074,0.305318
0.899992,0.063205,0.305486
0.904992,0.071284,0.302622
0.909992,0.071382,0.302733
0.914992,0.071528,0.302903
